Question,Option 1,Option 2,Option 3,Option 4,Option 5
1. I enjoy situations in which my performance is compared with that of others.  ,Strongly Disagree,Disagree,Neither agree nor disagree,Agree,Strongly Agree
2. Doing better than other people is important to me    ,Strongly Disagree,Disagree,Neither agree nor disagree,Agree,Strongly Agree
3. I feel motivated when I am competing against others..      ,Strongly Disagree,Disagree,Neither agree nor disagree,Agree,Strongly Agree
4. I like tasks where it is clear who performs better than whom. ,Strongly Disagree,Disagree,Neither agree nor disagree,Agree,Strongly Agree
5. Winning or outperforming others gives me a sense of satisfaction.      ,Strongly Disagree,Disagree,Neither agree nor disagree,Agree,Strongly Agree
